,Tense,Modal Type,NP Pattern,Adverb Exists
1478,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",3
1479,base,"['obligation', 'certainty']",OTHER,1
1480,base,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
1481,base,,"('DT', 'the', 'NN(sg)')",1
1482,base,,OTHER,1
1483,,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",4
1484,past participle,,"('DT', 'an', 'JJ', 'NN(sg)')",1
1485,past participle,,"('DT', 'the', 'NN(sg)')",1
1486,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",4
1487,past tense,,"('DT', 'the', 'NN(sg)')",2
1488,base,"['possibility', 'request', 'permission']",OTHER,0
1489,past participle,,OTHER,3
1490,base,,OTHER,1
1491,past participle,"['obligation', 'certainty']",OTHER,0
1492,base,,OTHER,2
1493,past participle,,"('DT', 'the', 'NN(sg)')",0
1494,,"['ability', 'suggestion', 'request']",OTHER,1
1495,past participle,,OTHER,1
1496,past participle,,NNP(proper),1
1497,past participle,[],"('DT', 'a', 'NN(sg)')",4
1498,present participle,,OTHER,0
1499,past participle,,OTHER,1
1500,present tense 3rd.sg,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",1
1501,past participle,,"('DT', 'the', 'NN(sg)')",4
1502,base,,"('DT', 'the', 'NN(sg)')",3
1503,past participle,[],OTHER,0
1504,past tense,,"('DT', 'the', 'NN(sg)')",1
1505,base,"['opinion', 'advice']",NNP(proper),5
1506,present tense 3rd.sg,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",2
1507,present participle,"['opinion', 'advice']",OTHER,1
1508,past participle,,NNP(proper),2
1509,,,OTHER,0
1510,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
1511,past participle,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",4
1512,base,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",0
1513,base,,"('DT', 'a', 'NN(sg)')",2
1514,base,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",4
1515,present participle,,OTHER,1
1516,past participle,,"('DT', 'the', 'NN(sg)')",0
1517,past participle,"['possibility', 'request', 'permission']","('DT', 'the', 'NN(sg)')",1
1518,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
1519,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'a', 'NN(sg)')",1
1520,base,,"('DT', 'a', 'NN(sg)')",2
1521,present participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",2
1522,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",2
1523,past participle,"['obligation', 'certainty']","('DT', 'the', 'JJ', 'NN(sg)')",1
1524,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",0
1525,present participle,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",2
1526,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,0
1527,present tense 3rd.sg,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
1528,base,,"('DT', 'a', 'NN(sg)')",1
1529,past participle,,OTHER,2
1530,base,"['obligation', 'certainty']",OTHER,0
1531,base,,OTHER,0
1532,present tense 3rd.sg,,NNP(proper),1
1533,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",5
1534,past participle,,"('DT', 'the', 'NN(sg)')",0
1535,present tense 3rd.sg,"['opinion', 'advice']","('DT', 'the', 'NN(sg)')",0
1536,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",0
1537,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,3
1538,present tense 3rd.sg,,"('DT', 'the', 'JJ', 'NN(sg)')",0
1539,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",3
1540,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'NN(sg)')",0
1541,base,,"('DT', 'the', 'NN(sg)')",1
1542,base,,"('DT', 'the', 'NN(sg)')",0
1543,base,,"('DT', 'the', 'NN(sg)')",2
1544,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
1545,past participle,"['ability', 'request', 'suggestion']","('DT', 'a', 'NN(sg)')",2
1546,past tense,,NNP(proper),0
1547,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",1
1548,present participle,"['obligation', 'certainty']","('DT', 'a', 'JJ', 'NNS(pl)')",1
1549,past participle,"['opinion', 'advice']","('DT', 'the', 'JJ', 'NN(sg)')",0
1550,present tense non-3rd.sg,,"('DT', 'an', 'NN(sg)')",5
1551,past participle,"['obligation', 'certainty']",OTHER,3
1552,past participle,,"('DT', 'the', 'NN(sg)')",1
1553,base,,OTHER,2
1554,,"['ability', 'suggestion', 'request']",OTHER,3
1555,,,"('DT', 'a', 'JJ', 'NN(sg)')",3
1556,present participle,,OTHER,2
1557,past participle,,"('DT', 'the', 'JJ', 'NN(sg)')",4
1558,base,,OTHER,0
1559,base,"['ability', 'suggestion', 'request']","('DT', 'a', 'NN(sg)')",2
1560,past participle,"['possibility', 'request', 'permission']",NNP(proper),6
1561,past participle,,"('DT', 'the', 'NN(sg)')",2
1562,past participle,,"('DT', 'the', 'NN(sg)')",2
1563,base,,NNP(proper),6
1564,base,,OTHER JJ,1
1565,base,"['obligation', 'certainty']",NNS(pl),2
1566,past participle,,OTHER,0
1567,past participle,"['possibility', 'request', 'permission']",OTHER,1
1568,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",2
1569,past participle,"['obligation', 'certainty']","('DT', 'the', 'NN(sg)')",2
1570,present tense non-3rd.sg,"['opinion', 'advice']",OTHER,0
1571,present participle,,OTHER,0
1572,present tense 3rd.sg,,OTHER,1
1573,past tense,,OTHER,1
1574,present tense 3rd.sg,,"('DT', 'a', 'NN(sg)')",0
1575,present tense 3rd.sg,,NNP(proper),1
1576,base,"['obligation', 'certainty']","('DT', 'a', 'NN(sg)')",1
1577,present tense 3rd.sg,,"('DT', 'an', 'NN(sg)')",0
1578,past tense,,"('DT', 'the', 'NN(sg)')",0
1579,base,,OTHER,1
1580,present tense 3rd.sg,,"('DT', 'the', 'NN(sg)')",1
1581,past participle,"['obligation', 'certainty']","('DT', 'a', 'JJ', 'NN(sg)')",0
1582,base,"['ability', 'suggestion', 'request']","('DT', 'the', 'JJ', 'NN(sg)')",1
1583,present tense 3rd.sg,"['ability', 'suggestion', 'request']",OTHER,1
1584,base,,OTHER,1
1585,past tense,"['ability', 'request', 'suggestion']","('DT', 'the', 'NN(sg)')",2
1586,,,"('DT', 'a', 'NN(sg)')",0
1587,base,"['possibility', 'request', 'permission']","('DT', 'a', 'NN(sg)')",3
1588,base,,OTHER,2
1589,present tense non-3rd.sg,,"('DT', 'a', 'NN(sg)')",1
1590,past tense,,OTHER,0
1591,past participle,"['possibility', 'request', 'permission']","('DT', 'another', 'NN(sg)')",4
